month,site,service_line,patient_encounters,avg_wait_days
2025-01,North,Cardiology,305,18
2025-01,South,Cardiology,280,20
2025-01,North,Dermatology,220,15
2025-01,South,Dermatology,200,16
2025-02,North,Cardiology,360,17
2025-02,South,Cardiology,300,19
2025-02,North,Dermatology,235,15
2025-02,South,Dermatology,210,16
2025-03,North,Cardiology,420,15
2025-03,South,Cardiology,320,18
2025-03,North,Dermatology,250,14
2025-03,South,Dermatology,225,15
2025-04,North,Cardiology,485,13
2025-04,South,Cardiology,345,17
2025-04,North,Dermatology,265,13
2025-04,South,Dermatology,240,14
2025-05,North,Cardiology,550,11
2025-05,South,Cardiology,370,15
2025-05,North,Dermatology,285,12
2025-05,South,Dermatology,255,13
2025-06,North,Cardiology,610,9
2025-06,South,Cardiology,400,14
2025-06,North,Dermatology,300,11
2025-06,South,Dermatology,270,12
