month,site,department,appointments,avg_wait_days
2025-01,North,Outpatient,305,18
2025-01,South,Outpatient,280,20
2025-01,North,Imaging,220,15
2025-01,South,Imaging,200,16
2025-02,North,Outpatient,360,17
2025-02,South,Outpatient,300,19
2025-02,North,Imaging,235,15
2025-02,South,Imaging,210,16
2025-03,North,Outpatient,420,15
2025-03,South,Outpatient,320,18
2025-03,North,Imaging,250,14
2025-03,South,Imaging,225,15
2025-04,North,Outpatient,485,13
2025-04,South,Outpatient,345,17
2025-04,North,Imaging,265,13
2025-04,South,Imaging,240,14
2025-05,North,Outpatient,550,11
2025-05,South,Outpatient,370,15
2025-05,North,Imaging,285,12
2025-05,South,Imaging,255,13
2025-06,North,Outpatient,610,9
2025-06,South,Outpatient,400,14
2025-06,North,Imaging,300,11
2025-06,South,Imaging,270,12
